Key,Name,Location,Historical Z-Score,GroupQ1 ,GroupQ2 ,GroupQ3 ,GroupQ4 ,GroupQ5 ,GroupQ6 ,GroupQ7 ,GroupQ8 ,GroupQ9 ,GroupQ10 ,SwissRound 1 ,SwissRound 2 ,SwissRound 3 ,SwissRound 4 ,SwissRound 5 ,CrossQ1 ,CrossQ2 ,CrossQ3 ,CrossQ4 ,RelayQ1 ,RelayQ2 ,RelayQ3 ,RelayQ4 ,RelayQ5 ,RelayQ6 ,RelayQ7 ,RelayQ8 ,RelayQ9 ,RelayQ10 ,RelayQ11 ,RelayQ12 ,RelayQ13 ,RelayQ14 ,RelayQ15 ,RelayQ16 ,RelayQ17 ,RelayQ18 ,RelayQ19 ,RelayQ20 ,SwissRound 1 Partner,SwissRound 2 Partner,SwissRound 3 Partner,SwissRound 4 Partner,SwissRound 5 Partner,SwissRound 1 Sites,SwissRound 2 Sites,SwissRound 3 Sites,SwissRound 4 Sites,SwissRound 5 Sites
A1,Radford College,City,1.33148658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
A2,Canberra Grammar,City,1.40907383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
A3,Sydney Technical High School,City,1.42724025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
A4,Daramalan College,City,-0.537570596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
A5,Canberra Girls Grammar,City,1.04472733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
A6,Narrabundah College,City,0.669313431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
A7,Trinity Christian School,City,-0.0683811232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
A8,Dickson College,City,1.43700969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
A9,Moruya High School,Country,-0.419890255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
B1,Melba Copland Secondary,City,-1.08116341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
