Name,Location,Historical Z-Score
Abbotsleigh,Country,-0.189999998
Batemans Bay High School,Country,-1.1597687
Bega High School,Country,-0.0141234994
Bega Valley Christian College,Country,0.252707213
Bomaderry High School,Country,-0.699910641
Bombala High School,Country,-1.37
Bowral High School,Country,-0.77332747
Braidwood Central,Country,-0.731809735
Canberra College Weston,City,1.10111725
Canberra College Woden,City,1.01591623
Canberra Girls Grammar,City,1.04472733
Canberra Grammar,City,1.28828299
Chevalier College,Country,-0.18045029
Cootamundra High School,Country,-0.265624583
Copland College,City,0.61858809
Daramalan College,City,-0.537570596
Dickson College,City,1.43700969
Eden High School,Country,-0.219999999
Erindale College,City,-0.454505384
Hawker College,City,0.144457996
Karabar High School,Country,-0.988075674
Lake Ginninderra College,City,0.301231354
Lake Tuggeranong College,City,-0.404649973
Leeton High School,Country,-0.354556233
MacKillop Catholic College,City,-0.729359567
Marist College,City,0.211330056
Merici College,City,0.13893047
Monaro High School,Country,-1.09145248
Moruya High School,Country,-0.419890255
Mulwaree High School,Country,-0.817814529
Narooma High School,Country,-0.164218634
Narrabundah College,City,0.669313431
Nowra Tech High School,Country,-0.37916398
Queanbeyan High School,Country,-0.853084147
Radford College,City,1.33148658
Shoalhaven High School,Country,0.189999998
Snowy Mountains Grammar,Country,-0.258280545
St Clare's College,City,-0.853091955
St Edmund's College,City,-0.660328209
St Peters College,City,-0.180000007
Trinity Catholic College,Country,-1.34503698
Ulladulla High School,Country,-0.812715709
Vincentia High School,Country,0.0131432582
Wellington High School,Country,-1.57164478
Yanco Ag High School,Country,-0.829999983
Yass High School,Country,-0.770722806
Young Tech High School,Country,-1.15263617
Crookwell High School,Country,-1.08846319
Daramalan College 1,City,1.01897168
Narrabundah College 2,City,0.685439825
Daramalan College 2,City,0.612806559
Sapphire Coast Anglican College,Country,-0.122701705
Narrabundah College 1,City,0.764252424
Hawker College 2,City,0.630969644
Young High School,Country,-1.33157575
Burgmann Anglican School,City,0.281100661
Hawker College 1,City,1.46801019
Melba Copland Secondary School,City,-0.681488872
Hawker Daramalan Colleges,City,0.669220865
St Pauls International College,Country,-0.428076118
Trinity Christian School,City,-0.0683811232
Canberra College,City,1.49226046
Canberra Grammar School,City,1.40907383
Marist College Canberra 1,City,0.938883066
Moss Vale High School,Country,-0.588387251
Marist College Canberra 2,City,-0.252357066
Canberra Grammar 1,City,1.19466937
Canberra Grammar 2,City,0.223610848
Lumen Catholic College,City,-1.1347369
Southern Highlands Christian 2,Country,-0.508318067
Southern Highlands  Christian 1,Country,-1.13167107
Illawarra Grammar School,City,-0.534979641
Burgmann Anglican School 2,City,-0.384613007
St Frances Xavier College,City,-0.0323726684
Lake Tuggeranong College 2,City,0.0837774128
Gungahlin College,City,-0.249806851
St Mary MacKillop College,City,-0.065747641
UC Lake Ginninderra College,City,-0.63429606
Chevalier College 2,Country,-0.896314859
Dickson College 2,City,0.586726248
Bishop Tyrrell Anglican,City,-0.415523291
Radford College 2,City,-0.0490984768
Burgmann Anglican 1,City,0.530286968
Chevalier College 2,City,-0.692790508
Canberra Girls Grammar 1,City,1.15484715
Dickson College 1,City,1.14797544
Wellington High,Country,-1.55123878
Brindabella Christian College,City,-0.286672413
UC Lake Ginninderra 1,City,0.342893898
Marist College 1,City,1.19574535
Burgmann Anglican 2,City,-0.392043054
Batemans Bay High,Country,-1.10802269
Marist College 2,City,-0.214203954
Canberra College 1,City,1.78418732
UC Lake Ginninderra 2,City,-0.0206988603
Sydney Technical High  1,City,1.42724025
St Frances Xavier,City,-0.831389427
Melba Copland Secondary,City,-1.08116341
Canberra Girls Grammar 2,City,0.262215614
Canberra College 2,City,0.789910197
Sydney Technical High 2,City,1.45396125
