Key,Name,Location,Historical Z-Score,GroupQ1 ,GroupQ2 ,GroupQ3 ,GroupQ4 ,GroupQ5 ,GroupQ6 ,GroupQ7 ,GroupQ8 ,GroupQ9 ,GroupQ10 ,SwissRound 1 ,SwissRound 2 ,SwissRound 3 ,SwissRound 4 ,SwissRound 5 ,CrossQ1 ,CrossQ2 ,CrossQ3 ,CrossQ4 ,RelayQ1 ,RelayQ2 ,RelayQ3 ,RelayQ4 ,RelayQ5 ,RelayQ6 ,RelayQ7 ,RelayQ8 ,RelayQ9 ,RelayQ10 ,RelayQ11 ,RelayQ12 ,RelayQ13 ,RelayQ14 ,RelayQ15 ,RelayQ16 ,RelayQ17 ,RelayQ18 ,RelayQ19 ,RelayQ20 ,SwissRound 1 Partner,SwissRound 2 Partner,SwissRound 3 Partner,SwissRound 4 Partner,SwissRound 5 Partner,SwissRound 1 Sites,SwissRound 2 Sites,SwissRound 3 Sites,SwissRound 4 Sites,SwissRound 5 Sites
A1,Radford College,City,1.33148658,15,15,20,20,25,25,30,30,20,20,30,0,30,20,20,11,13,12,0,10,0,5,5,15,15,10,0,15,15,5,5,0,0,10,0,0,0,0,0,B8,B5,A6,A8,A2,A1,A3,A3,A9,A7
A2,Canberra Grammar,City,1.40907383,15,0,20,20,0,25,15,10,35,20,60,60,0,0,40,12,14,10,4,10,10,0,5,15,15,10,10,0,15,5,5,0,0,10,10,0,15,0,0,B4,A9,B3,A6,A1,B4,B4,A9,A1,A7
A3,Sydney Technical High School,City,1.42724025,15,0,20,20,25,0,0,0,0,0,30,60,60,50,60,12,13,12,11,0,10,5,5,15,15,0,10,0,15,5,5,0,20,10,10,0,0,0,0,C6,D2,D9,C9,D7,C9,C9,D2,C5,B6
A4,Daramalan College,City,-0.537570596,15,15,10,20,0,25,30,30,20,20,60,30,60,30,30,13,15,12,0,10,10,5,5,15,0,10,0,15,15,5,5,0,20,10,10,15,0,0,20,B9,C8,B8,B3,B5,A7,A7,A1,A5,A1
A5,Canberra Girls Grammar,City,1.04472733,15,0,20,20,0,25,15,0,10,10,30,30,0,50,0,10,11,5,0,0,10,0,5,15,0,10,10,15,15,5,0,0,0,0,0,0,0,0,0,A7,D7,C9,D4,C6,C5,C3,C3,C3,C7
A6,Narrabundah College,City,0.669313431,15,15,20,20,25,25,15,10,35,35,30,60,30,60,40,15,14,15,15,0,10,5,5,0,15,10,10,15,15,5,5,0,20,10,10,15,0,0,20,B5,B8,A1,A2,B3,A3,A1,A3,A1,A3
A7,Trinity Christian School,City,-0.0683811232,15,0,10,20,0,25,0,20,10,10,30,40,40,30,0,14,14,12,2,0,10,5,5,15,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,A5,C1,D4,B4,D5,C5,C5,C5,C1,B8
A8,Dickson College,City,1.43700969,15,15,20,20,25,25,15,20,10,20,40,15,30,40,60,15,9,7,5,10,10,5,5,15,0,10,10,15,15,5,5,0,0,10,10,0,0,0,0,D3,C7,D8,A1,B2,A9,A9,A7,A9,A9
A9,Moruya High School,Country,-0.419890255,15,15,10,20,25,0,15,30,10,0,10,0,25,20,40,11,4,3,0,10,10,5,5,15,0,10,10,0,15,5,5,0,20,0,0,0,0,0,0,B7,A2,D7,D9,C3,B6,B4,B8,C7,C9
B1,Melba Copland Secondary,City,-1.08116341,15,0,20,20,25,0,0,30,0,0,40,50,0,20,30,12,13,7,0,0,10,0,5,15,15,10,0,0,15,5,0,0,0,10,0,0,0,0,0,D2,C6,B4,B9,B6,C7,C7,C1,B8,C5
