"TeamCode"	"Total1"	"Total2"	"Total3"	"Total4"	"CrossTotal"
"A2"	11.00	13.00	13.00	6.00	172.00
"A3"	13.00	11.00	1.00	0.00	100.00
"A4"	11.00	11.00	9.00	0.00	124.00
"A5"	10.00	13.00	13.00	12.00	192.00
"A6"	14.00	14.00	10.00	0.00	152.00
"A8"	13.00	11.00	14.00	4.00	168.00
"A9"	11.00	15.00	13.00	14.00	212.00
"AT"	11.00	13.00	14.00	13.00	204.00
"B1"	11.00	13.00	15.00	3.00	168.00
"B2"	11.00	13.00	12.00	11.00	188.00
"B3"	13.00	11.00	14.00	0.00	152.00
"B4"	11.00	6.00	14.00	6.00	148.00
"B5"	13.00	14.00	14.00	12.00	212.00
"B6"	15.00	13.00	15.00	13.00	224.00
"B7"	8.00	11.00	11.00	8.00	152.00
"B8"	11.00	10.00	12.00	0.00	132.00
"B9"	9.00	15.00	14.00	13.00	204.00
"BT"	15.00	15.00	15.00	7.00	208.00
"C1"	14.00	13.00	6.00	0.00	132.00
"C2"	13.00	11.00	11.00	1.00	144.00
"C3"	10.00	10.00	0.00	0.00	80.00
"C4"	10.00	11.00	14.00	4.00	156.00
"C5"	10.00	14.00	11.00	12.00	188.00
"C6"	14.00	12.00	13.00	5.00	176.00
"C7"	12.00	12.00	14.00	12.00	200.00
"C8"	7.00	14.00	13.00	5.00	156.00
"C9"	12.00	13.00	10.00	15.00	200.00
"CT"	12.00	13.00	11.00	1.00	148.00
"D1"	12.00	11.00	5.00	0.00	112.00
"D2"	10.00	14.00	13.00	7.00	176.00
"D3"	9.00	11.00	12.00	3.00	140.00
"D4"	10.00	12.00	13.00	7.00	168.00
"D5"	13.00	14.00	14.00	13.00	216.00
"D6"	12.00	12.00	11.00	0.00	140.00
"D7"	9.00	10.00	12.00	0.00	124.00
"D8"	10.00	11.00	13.00	9.00	172.00
"D9"	11.00	11.00	9.00	0.00	124.00
"DT"	14.00	15.00	12.00	12.00	212.00
