"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
1996,"A1","Batemans Bay High School","Country",0,0,0,0,9,24,15,15,20,0,25,0,0,15,90,0,0,0,90,10,23,0,40,30,50,N/A,120,6,15,172,3,10,0,0,0,5,15,20,0,0,0,0,0,0,5,5,0,0,0,10,10,0,0,20,0,30,60,14,28,-0.04,14,24,442,12,28,
1996,"A2","Bega High School ","Country",33,30,15,78,1,4,15,15,20,0,25,25,15,30,145,0,0,0,145,2,7,60,10,15,10,N/A,95,10,23,156,7,18,10,10,5,0,15,40,0,0,0,15,0,15,5,5,20,0,10,40,0,0,0,0,0,0,95,6,14,0.17,10,20,569,2,11,
1996,"A3","Bombala High School","Country",0,0,0,0,9,24,0,15,20,0,25,0,0,0,60,19,0,19,79,12,25,30,20,0,30,N/A,80,13,27,116,13,29,10,0,0,0,15,25,15,0,0,15,15,45,5,5,0,0,0,10,0,0,0,0,0,0,80,11,23,0.02,12,22,355,16,32,
1996,"A4","Bowral High School","Country",24,16,15,55,6,18,15,15,20,20,25,0,0,15,110,5,0,5,115,5,16,30,30,15,10,N/A,85,12,26,144,11,25,0,0,5,5,15,25,15,10,10,15,15,65,5,5,0,0,0,10,10,0,0,0,0,10,110,3,10,0.10,11,21,509,7,20,
1996,"A5","Braidwood Central","Country",0,0,0,0,9,24,15,15,20,0,25,0,0,0,75,0,0,0,75,13,26,60,20,0,50,N/A,130,4,11,160,6,14,10,10,0,0,0,20,15,0,0,0,15,30,5,5,20,0,0,30,10,0,0,0,0,10,90,8,18,0.87,3,5,455,9,25,
1996,"A6","Canberra Girls Grammar","City",30,37,16,83,1,1,15,15,20,0,0,15,30,15,110,20,0,20,130,7,10,30,10,30,30,N/A,100,13,22,184,4,4,10,10,0,0,0,20,15,0,10,0,15,40,5,5,0,0,0,10,0,0,0,0,0,0,70,14,26,0.59,4,7,567,10,12,
1996,"A7","Canberra Grammar ","City",37,31,12,80,3,3,15,15,20,20,25,25,15,15,150,8,15,23,173,2,2,30,50,10,30,N/A,120,10,15,160,9,14,0,0,5,5,15,25,15,10,10,0,15,50,5,5,20,20,0,50,10,15,15,0,20,60,185,1,1,-0.80,15,31,718,2,2,
1996,"A8","Chevalier College","Country",23,24,15,62,3,10,15,15,20,0,25,20,0,0,95,10,0,10,105,7,19,30,40,35,45,N/A,150,2,5,96,15,31,0,10,5,5,15,35,15,10,0,15,15,55,5,5,0,0,0,10,10,15,0,0,0,25,125,1,8,0.22,9,18,538,6,17,
1996,"A9","ci","Substitute",,,,N/A,,,,,,,,,,,,,,0,N/A,,,N/A,N/A,N/A,30,N/A,30,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,-3.06,,,30,,,
1996,"AT","cj","Substitute",,,,N/A,,,,,,,,,,,,,,0,N/A,,,N/A,N/A,N/A,30,N/A,30,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,-3.06,,,30,,,
1996,"B1","Cootamundra High School","Country",22,23,10,55,6,18,15,15,0,0,25,0,15,0,70,25,2,27,97,9,22,20,0,30,30,N/A,80,13,27,132,12,28,0,0,5,0,15,20,0,10,0,15,15,40,5,5,0,0,10,20,10,0,0,0,0,10,90,8,18,-0.25,15,27,454,10,26,
1996,"B2","Copland College ","City",24,22,10,56,12,17,15,15,20,0,15,0,30,15,110,13,0,13,123,10,14,30,50,0,50,N/A,130,8,11,156,12,18,0,10,0,0,15,25,0,0,0,15,15,30,5,5,20,0,10,40,0,0,0,0,0,0,95,9,14,-0.04,11,25,560,11,15,
1996,"B3","Daramalan College","City",28,21,8,57,11,16,15,15,20,20,25,0,30,0,125,0,0,0,125,8,11,10,60,10,30,N/A,110,11,17,200,1,1,0,0,5,5,0,10,0,10,0,15,0,25,5,5,20,0,10,40,0,15,0,0,0,15,90,11,18,-0.32,13,28,582,9,10,
1996,"B4","Erindale College","City",29,18,15,62,8,10,15,15,20,0,25,25,0,15,115,20,0,20,135,6,9,50,10,0,30,N/A,90,14,24,184,4,4,0,0,0,5,0,5,15,10,0,15,15,55,5,5,20,0,10,40,10,15,15,20,0,60,160,5,5,0.21,10,19,631,7,7,
1996,"B5","Hawker College","City",31,21,15,67,6,7,15,15,20,20,0,25,30,0,125,25,5,30,155,3,3,10,50,50,40,N/A,150,4,5,160,9,14,0,0,5,5,15,25,15,0,10,15,15,55,5,5,20,0,10,40,10,15,0,20,0,45,165,4,4,0.80,3,6,697,4,4,
1996,"B6","Leeton High School","Country",21,13,11,45,8,22,15,15,0,0,25,25,0,15,95,10,0,10,105,7,19,40,30,25,30,N/A,125,5,14,92,16,32,10,10,5,5,15,45,15,10,0,15,0,40,0,5,20,0,0,25,,,,,,,110,3,10,0.54,5,11,477,8,22,
1996,"B7","Marian College","Country",0,0,0,0,9,24,15,0,20,0,5,0,0,0,40,25,1,26,66,16,31,0,35,5,30,N/A,70,16,31,156,7,18,0,10,5,5,15,35,0,10,0,15,0,25,5,0,0,0,0,5,0,0,0,0,0,0,65,13,27,-0.01,13,23,357,15,31,
1996,"B8","Marist College","City",29,16,14,59,9,14,15,0,20,20,25,25,15,15,135,18,0,18,153,4,4,60,40,30,20,N/A,150,4,5,188,3,3,0,10,0,5,15,30,0,0,10,0,15,25,5,5,20,20,10,60,10,15,0,20,0,45,160,5,5,0.40,8,15,710,3,3,
1996,"B9","mb","Substitute",,,,N/A,,,,,,,,,,,,,,0,N/A,,,N/A,N/A,N/A,N/A,N/A,0,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,-3.25,,,0,,,
1996,"BT","mc","Substitute",,,,N/A,,,,,,,,,,,,,,0,N/A,,,N/A,N/A,N/A,N/A,N/A,0,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,-3.25,,,0,,,
1996,"C1","Merici College","City",30,25,10,65,7,8,15,15,20,0,25,0,0,30,105,10,0,10,115,12,16,50,20,60,20,N/A,150,4,5,196,2,2,0,10,0,0,0,10,15,10,0,15,15,55,5,5,0,0,0,10,,,,,,,75,13,25,0.92,2,4,601,8,8,
1996,"C2","Monaro High School ","Country",34,18,10,62,3,10,15,15,20,0,15,25,0,15,105,0,20,20,125,4,11,10,50,20,30,N/A,110,7,17,172,3,10,0,0,5,5,15,25,0,0,0,15,0,15,5,5,0,0,10,20,0,15,0,20,0,35,95,6,14,0.40,7,14,564,3,13,
1996,"C3","Moruya High School ","Country",38,15,10,63,2,9,15,0,20,0,25,15,0,0,75,0,0,0,75,13,26,30,10,60,50,N/A,150,2,5,184,1,4,0,10,5,0,15,30,15,10,10,0,15,50,5,5,0,0,0,10,,,,,,,90,8,18,1.07,1,1,562,4,14,
1996,"C4","Mulwaree High School","Country",0,0,0,0,9,24,0,15,20,20,15,25,30,0,125,2,15,17,142,3,8,30,20,45,15,N/A,110,7,17,108,14,30,0,0,0,5,15,20,,,,,,,,,,,,,,,,,,,20,16,32,-0.59,16,29,380,14,30,
1996,"C5","Nowra Tech High School","Country",24,21,15,60,5,13,15,15,20,0,25,25,0,0,100,12,0,12,112,6,18,60,40,45,40,N/A,185,1,2,172,3,10,0,10,5,0,15,30,0,10,0,15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,55,15,29,0.36,8,17,584,1,9,
1996,"C6","Phillip College","City",28,39,15,82,2,2,15,0,0,0,25,0,0,15,55,12,0,12,67,15,30,50,35,40,5,N/A,130,8,11,144,15,25,0,0,0,5,0,5,15,0,0,0,15,30,5,0,0,0,0,5,0,0,0,0,0,0,40,16,31,-1.53,16,32,463,15,23,
1996,"C7","PLC","City",15,13,10,38,15,23,15,15,20,0,25,0,30,15,120,5,0,5,125,8,11,0,0,30,10,N/A,40,16,32,156,12,18,0,0,5,0,0,5,15,10,10,0,15,50,5,5,0,0,0,10,0,15,0,20,0,35,100,8,13,-0.61,14,30,459,16,24,
1996,"C8","Queanbeyan High School","Country",0,0,0,0,9,24,15,15,20,20,0,25,30,0,125,25,0,25,150,1,5,0,10,60,40,N/A,110,7,17,184,1,4,0,10,5,5,15,35,15,0,10,0,15,40,5,5,0,20,0,30,0,0,0,0,0,0,105,5,12,0.59,4,8,549,5,16,
1996,"C9","qv","Substitute",,,,N/A,,,,,,,,,,,,,,0,N/A,,,N/A,N/A,N/A,N/A,N/A,0,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,-3.25,,,0,,,
1996,"CT","qw","Substitute",,,,N/A,,,,,,,,,,,,,,0,N/A,,,N/A,N/A,N/A,N/A,N/A,0,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,-3.25,,,0,,,
1996,"D1","Radford College","City",27,21,10,58,10,15,15,15,20,20,25,0,0,15,110,10,0,10,120,11,15,60,40,50,25,N/A,175,2,3,180,7,9,10,10,0,5,15,40,15,10,0,15,15,55,5,5,0,0,10,20,10,0,15,0,0,25,140,7,7,0.56,6,10,673,5,5,
1996,"D2","St Clare's College","City",20,24,9,53,13,20,15,15,0,0,25,0,0,0,55,20,0,20,75,14,26,0,25,30,55,N/A,110,11,17,156,12,18,10,0,5,5,0,20,15,10,0,0,0,25,5,5,0,0,0,10,10,0,0,20,0,30,85,12,22,0.58,5,9,479,14,21,
1996,"D3","St Edmund's College","City",15,25,10,50,14,21,0,0,0,0,25,0,0,0,25,15,0,15,40,16,32,60,60,60,55,N/A,235,1,1,160,9,14,0,0,5,5,15,25,0,0,0,0,0,0,5,5,0,0,0,10,10,0,0,0,0,10,45,15,30,0.53,7,12,530,12,18,
1996,"D4","St Peters College","City",22,32,18,72,5,6,15,15,20,0,0,25,0,30,105,0,0,0,105,13,19,20,25,0,30,N/A,75,15,30,164,8,13,10,10,5,0,15,40,0,10,0,15,0,25,5,5,20,0,0,30,0,0,0,0,0,0,95,9,14,0.36,9,16,511,13,19,
1996,"D5","Sydney Tech. High School ","City",35,28,12,75,4,5,15,0,20,20,15,25,30,30,155,20,0,20,175,1,1,40,50,30,35,N/A,155,3,4,144,15,25,10,10,0,5,15,40,15,10,10,15,15,65,5,5,20,0,10,40,10,0,0,0,20,30,175,2,2,-0.17,12,26,724,1,1,
1996,"D6","Wellington High School","Country",0,0,0,0,9,24,15,15,20,0,25,0,0,0,75,0,0,0,75,13,26,0,20,55,5,N/A,80,13,27,152,9,23,10,0,5,5,15,35,15,0,0,15,0,30,0,5,0,0,0,5,10,0,0,0,0,10,80,11,23,0.50,6,13,387,13,29,
1996,"D7","Yass High School ","Country",0,0,0,0,9,24,15,15,20,0,25,0,0,0,75,10,0,10,85,11,24,10,40,30,10,N/A,90,11,24,148,10,24,10,0,0,5,0,15,15,0,0,15,15,45,5,5,0,0,10,20,10,15,15,0,0,40,120,2,9,1.04,2,2,443,11,27,
1996,"D8","Young Radford","City",0,0,0,0,16,24,15,15,20,20,15,0,30,15,130,5,15,20,150,5,5,50,20,60,20,N/A,150,4,5,184,4,4,10,10,5,5,15,45,15,10,10,15,15,65,5,5,0,0,10,20,10,15,0,20,0,45,175,2,2,0.97,1,3,659,6,6,
1996,"D9","yp","Substitute",,,,N/A,,,,,,,,,,,,,,0,N/A,,,N/A,N/A,N/A,N/A,N/A,0,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,-3.25,,,0,,,
1996,"DT","yq","Substitute",,,,N/A,,,,,,,,,,,,,,0,N/A,,,N/A,N/A,N/A,N/A,N/A,0,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,-3.25,,,0,,,
