"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
2001,"A1","Batemans Bay High School","Country",,,,N/A,,,0,15,20,0,20,0,30,10,95,5,1,6,101,9,,15,30,0,30,N/A,75,,,160,7,,10,10,5,0,15,40,15,0,10,0,0,25,5,0,0,20,10,35,10,0,0,0,0,10,110,4,13,0.63,2,3,446,,
2001,"A2","Bega High School","Country",27,30,12,69,5,15,15,15,0,0,20,0,0,10,60,10,15,25,85,,,45,35,50,20,N/A,150,3,10,124,,,0,10,5,0,0,15,0,0,10,15,0,25,0,5,0,0,10,15,0,,,,,0,55,,,-0.83,,,483,8,
2001,"A3","Bega Valley Christian College","Country",22,34,12,68,6,16,0,15,20,0,20,0,20,0,75,15,12,27,102,8,,0,30,10,15,N/A,55,,,156,8,,10,10,5,0,0,25,0,0,10,0,0,10,0,0,0,0,10,10,0,0,15,0,,15,60,,,-0.58,,,441,,
2001,"A4","Bomaderry High School","Country",33,30,14,77,1,6,15,15,20,0,20,0,20,10,100,25,15,40,140,3,15,25,15,60,30,N/A,130,6,16,180,5,18,10,10,5,0,15,40,15,10,10,15,0,50,0,0,20,20,0,40,10,15,,,,25,155,1,3,0.88,1,2,682,1,9
2001,"A5","Bowral High School","Country",23,24,10,57,8,,15,15,20,15,20,0,30,0,115,25,6,31,146,2,12,30,55,0,5,N/A,90,,,188,3,12,10,10,5,0,15,40,0,10,10,15,0,35,0,0,0,0,10,10,10,15,15,0,0,40,125,3,9,0.40,6,10,606,3,14
2001,"A6","Braidwood Central","Country",,,,N/A,,,0,15,20,0,20,0,0,0,55,5,11,16,71,,,30,20,60,45,N/A,155,2,7,120,,,0,10,5,0,0,15,15,0,10,0,15,40,0,,,,,0,0,,,,,0,55,,,0.49,3,5,401,,
2001,"A7","Canberra College Weston","City",34,28,13,75,7,9,15,15,20,0,20,0,30,20,120,33,35,68,188,3,3,60,45,30,35,N/A,170,4,5,208,6,6,10,10,5,0,15,40,15,0,10,15,0,40,0,5,0,0,10,15,10,0,15,0,0,25,120,7,10,0.60,2,4,761,2,2
2001,"A8","Canberra College Woden","City",34,29,13,76,6,7,0,15,20,0,20,30,30,10,125,35,17,52,177,7,7,55,0,40,20,N/A,115,,18,200,9,9,10,10,5,5,15,45,0,10,10,15,0,35,5,5,20,0,10,40,10,15,15,0,20,60,180,1,1,0.49,3,7,748,4,4
2001,"A9","Canberra Girls Grammar","City",36,29,13,78,4,4,15,15,20,15,20,0,30,20,135,20,30,50,185,4,4,0,30,10,25,N/A,65,,,184,,15,10,10,5,0,0,25,15,0,10,15,15,55,0,,,,,0,0,,,,,0,80,,,0.30,5,12,592,,16
2001,"AT","Canberra Grammar","City",21,18,8,47,,,0,15,20,20,20,30,30,20,155,25,0,25,180,6,6,60,60,10,25,N/A,155,6,7,188,10,12,10,10,5,5,15,45,15,0,10,15,0,40,5,5,20,0,10,40,10,15,,,,25,150,4,5,0.23,8,15,720,6,6
2001,"B1","Chevalier College","Country",35,26,13,74,3,10,15,0,20,15,20,0,0,0,70,25,0,25,95,10,,60,40,50,25,N/A,175,1,2,132,10,,10,10,5,0,15,40,0,10,10,15,0,35,5,5,20,20,10,60,10,,,,,10,145,2,6,0.45,5,9,621,2,13
2001,"B2","Collegiates","Substitute",,,,N/A,,,0,15,20,20,20,30,20,0,125,0,0,0,125,,,25,50,60,35,N/A,170,,,168,,,0,10,5,0,0,15,0,0,10,0,0,10,5,,,,,5,,,,,,,30,,,-0.37,,,493,,
2001,"B3","Cootamundra High School","Country",,,,N/A,,,0,15,20,0,20,0,30,0,85,5,0,5,90,,,30,20,10,30,N/A,90,,,192,2,11,10,10,5,0,0,25,15,0,10,15,0,40,5,0,0,20,10,35,,,,,,,100,6,17,-0.06,9,,472,10,
2001,"B4","Copland College","City",31,28,15,74,8,10,15,15,20,20,20,10,0,25,125,25,0,25,150,9,9,35,40,60,40,N/A,175,2,2,228,1,1,10,10,5,0,15,40,0,10,10,15,0,35,0,0,0,0,10,10,0,15,,,,15,100,,17,-0.21,,,727,5,5
2001,"B5","Daramalan College","City",,,,N/A,,,0,15,10,15,20,0,30,10,100,23,20,43,143,,14,35,40,35,0,N/A,110,,19,208,6,6,10,10,5,0,0,25,15,10,10,0,15,50,0,5,20,0,10,35,0,,,,,0,110,10,13,0.20,10,17,571,,18
2001,"B6","Dickson College","City",34,25,13,72,10,13,15,0,20,0,20,10,0,10,75,15,1,16,91,,,40,40,60,25,N/A,165,5,6,172,,,10,10,5,0,15,40,0,0,10,0,0,10,5,5,0,0,10,20,,,,,,,70,,,-0.07,,,570,,19
2001,"B7","Erindale College","City",31,25,12,68,,16,15,15,20,15,20,0,30,0,115,30,25,55,170,8,8,20,50,0,40,N/A,110,,19,216,5,5,10,10,5,0,15,40,0,0,10,0,15,25,0,5,20,0,0,25,10,0,15,0,0,25,115,8,11,0.02,,20,679,9,10
2001,"B8","Hawker College","City",14,20,7,41,,,0,15,20,0,20,0,20,10,85,35,3,38,123,,20,30,30,40,35,N/A,135,10,14,136,,,10,10,5,0,15,40,15,0,10,15,15,55,0,5,20,0,0,25,0,15,,,,15,135,6,8,0.24,6,13,570,,19
2001,"B9","Karabar High School","Country",,,,N/A,,,15,15,20,0,10,0,10,10,80,0,0,0,80,,,20,5,0,30,N/A,55,,,108,,,10,10,5,0,15,40,0,0,10,0,0,10,0,5,0,0,0,5,10,,,,,10,65,10,,-0.90,,,308,,
2001,"BT","Lake Ginninderra College","City",38,38,17,93,1,1,15,15,10,0,20,0,30,20,110,25,0,25,135,,17,40,10,60,40,N/A,150,8,10,220,4,4,10,10,5,5,15,45,0,10,0,15,0,25,5,5,0,0,10,20,10,15,,,,25,115,8,11,-0.76,,,713,7,7
2001,"C1","Lake Tuggeranong College","City",34,27,13,74,8,10,15,15,20,0,10,10,10,5,85,0,6,6,91,,,60,35,25,55,N/A,175,2,2,184,,15,10,10,5,0,15,40,0,0,10,15,0,25,0,5,0,0,10,15,,,,,,,80,,,-0.62,,,604,,15
2001,"C2","MacKillop Catholic College","City",,,,N/A,,,0,15,20,0,20,0,30,0,85,5,3,8,93,,,0,15,30,45,N/A,90,,,96,,,0,10,5,0,0,15,0,0,10,0,0,10,0,,,,,0,,,,,,,25,,,-1.03,,,304,,
2001,"C3","Marist College","City",29,26,12,67,,18,15,15,20,20,20,10,30,25,155,35,17,52,207,2,2,60,0,30,10,N/A,100,,,180,,18,10,10,5,0,15,40,15,10,10,15,0,50,5,5,20,0,10,40,10,0,15,0,0,25,155,3,3,0.02,,,709,8,8
2001,"C4","Merici College","City",29,35,14,78,4,4,15,15,20,15,20,10,30,10,135,15,0,15,150,9,9,0,30,10,40,N/A,80,,,224,2,2,10,10,5,0,15,40,0,0,10,15,0,25,5,5,20,0,0,30,0,,,,,0,95,,19,0.48,4,8,627,,12
2001,"C5","Monaro High School","Country",28,29,13,70,4,14,0,15,20,0,20,0,20,0,75,0,0,0,75,,,30,25,40,15,N/A,110,8,19,84,,,0,10,5,0,15,30,0,0,10,0,0,10,5,0,0,20,10,35,0,,,,,0,75,9,,-0.38,,,414,,
2001,"C6","Moruya High School","Country",25,27,10,62,7,19,15,15,10,0,20,20,30,10,120,8,0,8,128,5,18,5,20,40,30,N/A,95,10,,144,9,,0,0,5,0,15,20,15,0,10,0,0,25,0,0,0,0,0,0,10,15,15,0,0,40,85,8,,-0.29,,,514,5,
2001,"C7","Narrabundah College","City",37,30,15,82,3,3,0,15,10,15,10,30,30,20,130,25,26,51,181,5,5,60,60,50,20,N/A,190,1,1,224,2,2,0,10,5,5,15,35,0,0,10,15,15,40,5,5,0,20,0,30,10,15,15,0,0,40,145,5,6,1.23,1,1,822,1,1
2001,"C8","Nowra Tech High School","Country",,,,N/A,,,15,15,20,0,20,0,30,10,110,5,9,14,124,6,19,30,20,0,0,N/A,50,,,200,1,9,10,10,5,0,0,25,0,0,10,15,0,25,5,0,20,0,10,35,10,0,15,0,0,25,110,4,13,-0.95,,,484,7,
2001,"C9","Radford College","City",25,24,10,59,,20,15,15,20,20,20,30,30,20,170,35,27,62,232,1,1,0,15,20,60,N/A,95,,,188,10,12,10,10,5,0,15,40,0,10,10,15,0,35,5,5,0,20,10,40,10,15,15,20,0,60,175,2,2,0.15,,18,749,3,3
2001,"D1","St Clare's College","City",12,37,10,59,,20,0,15,20,0,10,0,30,0,75,20,11,31,106,,,30,55,0,60,N/A,145,9,12,208,6,6,0,10,5,0,0,15,0,0,10,0,15,25,0,5,0,0,0,5,0,0,15,0,0,15,60,,,0.23,7,14,578,,17
2001,"D2","St Edmund's College","City",,,,N/A,,,0,15,20,0,20,0,30,0,85,15,0,15,100,,,60,5,20,5,N/A,90,,,124,,,0,10,5,0,15,30,0,10,10,15,15,50,0,5,0,0,10,15,0,,,,,0,95,,19,-0.68,,,409,,
2001,"D3","Sydney Tech. High School","City",39,30,15,84,2,2,15,15,20,15,20,0,30,10,125,0,21,21,146,,12,0,45,60,50,N/A,155,6,7,180,,18,10,10,5,5,15,45,0,0,10,15,0,25,5,5,0,0,10,20,0,15,,,,15,105,,16,0.20,9,16,670,10,11
2001,"D4","Trinity Catholic College","Country",,,,N/A,,,0,15,10,15,20,0,0,10,70,15,0,15,85,,,15,40,50,20,N/A,125,7,17,112,,,10,10,5,0,0,25,15,0,10,0,0,25,0,5,,,,5,,,,,,,55,,,-0.63,,,377,,
2001,"D5","Vincentia High School","Country",,,,N/A,,,15,15,20,0,20,10,10,15,105,25,9,34,139,4,16,30,25,50,35,N/A,140,4,13,184,4,15,10,10,5,0,15,40,0,10,10,0,15,35,0,0,0,0,0,0,0,15,,,,15,90,7,,0.03,8,19,553,4,
2001,"D6","Wiggles","Substitute",,,,N/A,,,,,,,,,,,0,0,0,0,0,,,30,30,30,30,N/A,120,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,-2.84,,,120,,
2001,"D7","Wellington High School","Country",33,29,14,76,2,7,15,15,20,20,10,0,30,10,120,0,0,0,120,7,,30,20,0,55,N/A,105,9,,124,,,0,0,5,0,15,20,0,0,10,0,0,10,0,0,0,0,0,0,10,0,15,0,0,25,55,,,0.35,7,11,480,9,
2001,"D8","Yass High School","Country",,,,N/A,,,15,15,0,20,0,0,30,10,90,25,33,58,148,1,11,45,10,20,60,N/A,135,5,14,168,6,,10,10,5,0,0,25,15,0,10,0,0,25,0,0,0,0,10,10,0,,,,,0,60,,,0.49,4,6,511,6,
2001,"D9","Young Tech High School","Country",,,,N/A,,,0,15,20,0,20,0,30,0,85,0,1,1,86,,,0,45,20,0,N/A,65,,,128,,,0,0,5,0,0,5,15,0,0,15,15,45,5,0,,,,5,,,,,,,55,,,-0.10,10,,334,,
