Name,Location,H_ZScore
"Abbotsleigh","Country",-1.89999998e-01
"Batemans Bay High School","Country",-1.15976870e+00
"Bega High School","Country",-1.41234994e-02
"Bega Valley Christian College","Country",2.52707213e-01
"Bomaderry High School","Country",-6.99910641e-01
"Bombala High School","Country",-1.37000000e+00
"Bowral High School","Country",-7.73327470e-01
"Braidwood Central","Country",-7.31809735e-01
"Canberra College Weston","City",1.10111725e+00
"Canberra College Woden","City",1.01591623e+00
"Canberra Girls Grammar","City",1.04472733e+00
"Canberra Grammar","City",1.28828299e+00
"Chevalier College","Country",-1.80450290e-01
"Cootamundra High School","Country",-2.65624583e-01
"Copland College","City",6.18588090e-01
"Daramalan College","City",-5.37570596e-01
"Dickson College","City",1.43700969e+00
"Eden High School","Country",-2.19999999e-01
"Erindale College","City",-4.54505384e-01
"Hawker College","City",1.44457996e-01
"Karabar High School","Country",-9.88075674e-01
"Lake Ginninderra College","City",3.01231354e-01
"Lake Tuggeranong College","City",-4.04649973e-01
"Leeton High School","Country",-3.54556233e-01
"MacKillop Catholic College","City",-7.29359567e-01
"Marist College","City",2.11330056e-01
"Merici College","City",1.38930470e-01
"Monaro High School","Country",-1.09145248e+00
"Moruya High School","Country",-4.19890255e-01
"Mulwaree High School","Country",-8.17814529e-01
"Narooma High School","Country",-1.64218634e-01
"Narrabundah College","City",6.69313431e-01
"Nowra Tech High School","Country",-3.79163980e-01
"PLC","City",1.80000007e-01
"Queanbeyan High School","Country",-8.53084147e-01
"Radford College","City",1.33148658e+00
"Shoalhaven High School","Country",1.89999998e-01
"Snowy Mountains Grammar","Country",-2.58280545e-01
"St Clare's College","City",-8.53091955e-01
"St Edmund's College","City",-6.60328209e-01
"St Peters College","City",-1.80000007e-01
"Sydney Tech. High School","City",6.49766982e-01
"Trinity Catholic College","Country",-1.34503698e+00
"Ulladulla High School","Country",-8.12715709e-01
"Vincentia High School","Country",1.31432582e-02
"Wagga Wagga T H","Country",-2.89235711e-02
"Wellington High School","Country",-1.57164478e+00
"Yanco Ag High School","Country",-8.29999983e-01
"Yass High School","Country",-7.70722806e-01
"Young Tech High School","Country",-1.15263617e+00
"Crookwell High School","Country",-1.08846319e+00
"Chevalier-Braidwood","Country",5.23008943e-01
"Hawker College Blue","City",1.01758528e+00
"Hawker College Green","City",9.41969395e-01
"Copland College Too","City",3.02254260e-01
"Sthn Hlands Christian School","Country",-1.84484169e-01
"Daramalan College 1","City",1.01897168e+00
"Narrabundah College 2","City",6.85439825e-01
"Daramalan College 2","City",6.12806559e-01
"Saphire Coast Anglican College","Country",-1.22701705e-01
"Narrabundah College 1","City",7.64252424e-01
"Hawker College 2","City",6.30969644e-01
"Young High School","Country",-1.33157575e+00
"Burgmann Anglican School","City",2.81100661e-01
"Hawker College 1","City",1.46801019e+00
"Melba Copland Secondary School","City",-6.81488872e-01
"Hawker Daramalan Colleges","City",6.69220865e-01
"St Pauls International College","Country",-4.28076118e-01
"Trinity Christian School","City",-6.83811232e-02
"Young Cootamundra High School","Country",-1.51274800e+00
"Canberra College","City",1.49226046e+00
"Canberra Grammar School","City",1.40907383e+00
"Marist College Canberra 1","City",9.38883066e-01
"Moss Vale High School","Country",-5.88387251e-01
"Sydney Tech. High School A","City",4.63124365e-01
"Sydney Tech. High School B","City",7.48110652e-01
"Marist College Canberra 2","City",-2.52357066e-01
"Young High School (Daramalan)","Country",-1.24039042e+00
"Canberra Grammar 1","City",1.19466937e+00
"Canberra Grammar 2","City",2.23610848e-01
"Chevalier College, Bowral","City",-2.18742564e-02
"Lumen Catholic College","City",-1.13473690e+00
"Sthn Hlands Christian 2","Country",-5.08318067e-01
"Sthn Hlands Christian 1","Country",-1.13167107e+00
"Illawarra Grammar School","City",-5.34979641e-01
"Burgmann Anglican School 2","City",-3.84613007e-01
"St Frances Xavier College","City",-3.23726684e-02
"Lake Tuggeranong College 2","City",8.37774128e-02
"Sydney Tech. High School 1","City",1.23659074e+00
"Sydney Tech. High School 2","City",9.76914406e-01
"Gungahlin College","City",-2.49806851e-01
"Burgmann Anglican School 1","City",3.27445090e-01
"St Mary MacKillop College","City",-6.57476410e-02
"UC Lake Ginninderra College","City",-6.34296060e-01
"Chevalier College #2","Country",-8.96314859e-01
"Dickson College #2","City",5.86726248e-01
"Canberra Girls Grammar #2","City",5.91679931e-01
"UC Senior Secondary College","City",-7.17607439e-01
"Bishop Tyrrell Anglican","City",-4.15523291e-01
"Radford College 2","City",-4.90984768e-02
"Burgmann Anglican 1","City",5.30286968e-01
"Chevalier College 2","City",-6.92790508e-01
"Canberra Girls Gram 1","City",1.15484715e+00
"Dickson College 1","City",1.14797544e+00
"Wellington High","Country",-1.55123878e+00
"Brindabella Christian College","City",-2.86672413e-01
"Lake Ginninderra 1","City",3.42893898e-01
"Marist College 1","City",1.19574535e+00
"Burgmann Anglican 2","City",-3.92043054e-01
"Batemans Bay High","Country",-1.10802269e+00
"Marist College 2","City",-2.14203954e-01
"Canberra College 1","City",1.78418732e+00
"Lake Ginninderra 2","City",-2.06988603e-02
"Sydney Tech High  1","City",1.42724025e+00
"St Frances Xavier","City",-8.31389427e-01
"Melba Copland Secondary","City",-1.08116341e+00
"Sapphire Coast Anglican","Country",-3.02790523e-01
"Canberra Girls Gram 2","City",2.62215614e-01
"Canberra College 2","City",7.89910197e-01
"Sydney Tech. High 2","City",1.45396125e+00
