"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
1997,"A1","Batemans Bay High School      ","Country   ",0,0,0,0,12,30,,,,,,,,,75,0,0,0,75,12,28,10,0,60,0,N/A,70,14,32,108,11,30,,,,,,40,,,,,,35,,,,,,5,,,,,,0,80,13,28,-1.47,16,33,333,14,32,
1997,"A2","Bega High School              ","Country   ",30,32,20,82,2,5,,,,,,,,,50,15,25,40,90,10,25,15,10,45,40,N/A,110,9,20,188,1,3,,,,,,25,,,,,,25,,,,,,25,,,,,,10,85,10,25,-0.05,10,18,555,5,18,
1997,"A3","Bowral High School            ","Country   ",30,30,16,76,5,13,,,,,,,,,90,10,25,35,125,4,10,50,0,30,25,N/A,105,10,21,152,6,14,,,,,,25,,,,,,65,,,,,,5,,,,,,10,105,5,13,0.35,7,13,563,3,15,
1997,"A4","Braidwood Central             ","Country   ",0,0,0,0,12,30,,,,,,,,,70,20,18,38,108,7,18,35,20,10,0,N/A,65,15,33,128,9,23,,,,,,25,,,,,,25,,,,,,10,,,,,,25,85,10,25,-0.16,11,20,386,13,31,
1997,"A5","Canberra College - Weston     ","City      ",30,39,20,89,1,1,,,,,,,,,65,0,28,28,93,15,23,40,30,5,20,N/A,95,15,26,120,18,27,,,,,,30,,,,,,25,,,,,,25,,,,,,10,90,15,24,-0.44,13,25,487,16,27,
1997,"A6","Canberra College - Woden      ","City      ",36,30,15,81,5,7,,,,,,,,,95,20,25,45,140,5,6,20,50,20,60,N/A,150,5,7,180,6,7,,,,,,45,,,,,,35,,,,,,35,,,,,,35,150,3,3,1.52,1,2,701,3,3,
1997,"A7","Canberra Girls Grammar        ","City      ",30,30,16,76,9,13,,,,,,,,,100,10,28,38,138,6,7,10,10,45,35,N/A,100,14,25,128,15,23,,,,,,40,,,,,,50,,,,,,30,,,,,,10,130,5,5,0.55,5,11,572,11,13,
1997,"A8","Canberra Grammar              ","City      ",30,30,3,63,16,25,,,,,,,,,90,0,15,15,105,13,20,10,50,25,20,N/A,105,12,21,216,2,2,,,,,,45,,,,,,25,,,,,,20,,,,,,10,100,11,17,-1.65,18,34,589,8,10,
1997,"A9","Chevalier College             ","Country   ",30,25,14,69,8,19,,,,,,,,,130,2,25,27,157,1,3,30,30,5,60,N/A,125,7,14,140,8,20,,,,,,30,,,,,,35,,,,,,35,,,,,,10,110,3,10,0.63,5,9,601,2,8,
1997,"B1","Cootamundra High School","Country",20,35,19,74,6,15,,,,,,,,,45,10,25,35,80,11,26,45,0,30,60,N/A,135,5,12,108,11,30,,,,,,35,,,,,,25,,,,,,25,,,,,,10,95,7,19,-0.30,12,23,492,11,26,
1997,"B2","Copland College               ","City      ",20,39,10,69,12,19,,,,,,,,,50,0,25,25,75,17,28,10,50,15,40,N/A,115,10,17,152,9,14,,,,,,35,,,,,,35,,,,,,25,,,,,,10,105,9,13,-0.55,15,27,516,15,25,
1997,"B3","Daramalan College             ","City      ",30,30,4,64,14,23,,,,,,,,,70,10,35,45,115,11,17,20,60,45,20,N/A,145,6,8,188,3,3,,,,,,25,,,,,,35,,,,,,5,,,,,,10,75,18,31,-0.32,12,24,587,9,11,
1997,"B4","Dickson College               ","City      ",0,0,0,0,19,30,,,,,,,,,95,0,25,25,120,7,11,40,10,0,40,N/A,90,17,29,112,19,29,,,,,,0,,,,,,0,,,,,,0,,,,,,0,0,19,35,-2.53,19,35,322,19,33,
1997,"B5","Erindale College              ","City      ",30,35,16,81,5,7,,,,,,,,,120,5,25,30,150,3,4,0,30,15,20,N/A,65,19,33,152,9,14,,,,,,35,,,,,,25,,,,,,35,,,,,,25,120,6,8,-0.28,10,21,568,12,14,
1997,"B6","Hawker College                ","City      ",30,30,4,64,14,23,,,,,,,,,100,9,35,44,144,4,5,50,40,55,40,N/A,185,1,1,164,8,12,,,,,,35,,,,,,50,,,,,,45,,,,,,25,155,2,2,1.21,2,5,712,2,2,
1997,"B7","Lake Ginninderra College      ","City      ",30,31,20,81,5,7,,,,,,,,,125,10,35,45,170,2,2,30,20,45,20,N/A,115,10,17,148,12,18,,,,,,40,,,,,,35,,,,,,15,,,,,,10,100,11,17,-0.98,17,30,614,6,7,
1997,"B8","Lake Tuggeranong College      ","City      ",30,33,20,83,3,4,,,,,,,,,85,0,33,33,118,10,16,60,20,15,10,N/A,105,12,21,152,9,14,,,,,,45,,,,,,20,,,,,,45,,,,,,10,120,6,8,-0.55,16,28,578,10,12,
1997,"B9","Leeton High School","Country",30,25,0,55,10,28,,,,,,,,,40,0,25,25,65,14,31,35,20,30,20,N/A,105,10,21,168,3,10,,,,,,30,,,,,,40,,,,,,45,,,,,,10,125,2,7,0.57,6,10,518,10,24,
1997,"C1","Marian College","Country",20,20,0,40,11,29,,,,,,,,,20,0,25,25,45,16,34,25,10,0,25,N/A,60,16,35,92,15,34,,,,,,35,,,,,,25,,,,,,15,,,,,,0,75,14,31,-1.10,15,32,312,16,35,
1997,"C3","Merici College                ","City      ",30,30,14,74,10,15,,,,,,,,,75,8,25,33,108,12,18,50,30,40,0,N/A,120,8,15,220,1,1,,,,,,20,,,,,,50,,,,,,25,,,,,,0,95,13,19,1.07,3,6,617,5,6,
1997,"C4","Monaro High School","Country",30,32,9,71,7,18,,,,,,,,,45,0,25,25,70,13,30,25,50,55,50,N/A,180,1,2,84,16,35,,,,,,30,,,,,,65,,,,,,25,,,,,,10,130,1,5,0.04,9,16,535,7,21,
1997,"C5","Moruya High School","Country",30,30,20,80,3,10,,,,,,,,,80,0,25,25,105,8,20,30,30,35,0,N/A,95,12,26,176,2,8,,,,,,35,,,,,,35,,,,,,25,,,,,,0,95,7,19,0.87,4,7,551,6,19,
1997,"C6","Mulwaree High School","Country",0,0,0,0,12,30,,,,,,,,,80,15,25,40,120,5,11,0,40,15,60,N/A,115,8,17,108,11,30,,,,,,30,,,,,,40,,,,,,5,,,,,,10,85,10,25,-0.75,13,29,428,12,29,
1997,"C7","Narrabundah College           ","City      ",30,32,20,82,4,5,,,,,,,,,80,11,28,39,119,9,15,60,60,0,60,N/A,180,2,2,172,7,9,,,,,,25,,,,,,40,,,,,,35,,,,,,10,110,8,10,-0.01,8,17,663,4,4,
1997,"C8","PLC                           ","City      ",30,30,1,61,18,27,,,,,,,,,65,10,25,35,100,14,22,35,40,30,40,N/A,145,6,8,184,5,6,,,,,,25,,,,,,25,,,,,,45,,,,,,10,105,9,13,0.25,7,15,595,7,9,
1997,"C9","Queanbeyan High School","Country",30,30,7,67,9,22,,,,,,,,,70,25,25,50,120,5,11,25,10,45,60,N/A,140,3,10,160,5,13,,,,,,10,,,,,,10,,,,,,25,,,,,,0,45,16,34,0.29,8,14,532,8,22,
1997,"D1","Radford College               ","City      ",30,30,9,69,12,19,,,,,,,,,90,5,25,30,120,7,11,30,30,25,10,N/A,95,15,26,128,15,23,,,,,,20,,,,,,35,,,,,,25,,,,,,65,145,4,4,-0.30,11,22,557,13,17,
1997,"D2","Shoalhaven High School","Country",30,30,18,78,4,12,,,,,,,,,85,17,35,52,137,2,8,0,60,35,40,N/A,135,5,12,168,3,10,,,,,,30,,,,,,50,,,,,,5,,,,,,25,110,3,10,1.37,2,3,628,1,5,
1997,"D3","St Clare's College            ","City      ",30,30,2,62,17,26,,,,,,,,,5,0,35,35,40,19,35,35,40,15,0,N/A,90,17,29,132,14,22,,,,,,25,,,,,,50,,,,,,5,,,,,,0,80,16,28,-0.44,14,26,404,18,30,
1997,"D4","St Edmund's College           ","City      ",30,30,20,80,8,10,,,,,,,,,30,15,3,18,48,18,33,20,20,60,20,N/A,120,8,15,136,13,21,,,,,,30,,,,,,40,,,,,,25,,,,,,0,95,13,19,-0.13,9,19,479,17,28,
1997,"D5","St Peters College             ","City      ",30,30,14,74,10,15,,,,,,,,,55,5,20,25,80,16,26,50,30,50,50,N/A,180,2,2,128,15,23,,,,,,30,,,,,,35,,,,,,5,,,,,,10,80,16,28,0.40,6,12,542,14,20,
1997,"D6","Sydney Tech. High School      ","City      ",30,34,20,84,2,3,,,,,,,,,120,25,27,52,172,1,1,60,30,60,20,N/A,170,4,5,188,3,3,,,,,,45,,,,,,65,,,,,,5,,,,,,45,160,1,1,0.63,4,8,774,1,1,
1997,"D7","Wellington High School        ","Country   ",30,38,20,88,1,2,,,,,,,,,60,0,33,33,93,9,23,25,55,60,0,N/A,140,3,10,116,10,28,,,,,,35,,,,,,35,,,,,,25,,,,,,0,95,7,19,1.24,3,4,532,8,22,
1997,"D8","Yass High School              ","Country   ",0,0,0,0,12,30,,,,,,,,,100,2,35,37,137,2,8,35,50,45,40,N/A,170,2,5,148,7,18,,,,,,35,,,,,,50,,,,,,10,,,,,,10,105,5,13,1.68,1,1,560,4,16,
1997,"D9","Young Tech High School        ","Country   ",0,0,0,0,12,30,,,,,,,,,40,0,25,25,65,14,31,40,5,0,35,N/A,80,13,31,100,14,33,,,,,,20,,,,,,10,,,,,,45,,,,,,0,75,14,31,-1.00,14,31,320,15,34,
