"Year","Code","Name","Loc","PC1","PC2","PC3","PCTotal","PCLRank","PCORank","GC1","GC2","GC3","GC4","GC5","GC6","GC7","GC8","GC1_8","GC9","GC10","GC9_10","GCTotal","GCLRank","GCORank","SCR1","SCR2","SCR3","SCR4","SCR5","SCTotal","SCLRank","SCORank","CCTotal","CCLRank","CCORank","RC1","RC2","RC3","RC4","RC5","RC1_5","RC6","RC7","RC8","RC9","RC10","RC6_10","RC11","RC12","RC13","RC14","RC15","RC11_15","RC16","RC17","RC18","RC19","RC20","RC16_20","RCTotal","RCLRank","RCORank","ZScore","ZSLRank","ZSORank","ALLCTotal","ALLCLRank","ALLCORank"
2004,"A1","Batemans Bay High School","Country",30,18,10,58,7,20,15,15,20,20,25,25,0,15,135,0,14,14,149,2,14,40,0,20,15,60,135,,,172,5,12,0,10,5,5,15,35,15,10,10,15,15,65,5,5,0,20,10,40,10,0,15,0,20,45,185,1,7,1.51,1,1,699,3,13
2004,"A2","Bega High School","Country",32,27,18,77,1,3,15,15,20,0,25,10,0,30,115,22,1,23,138,4,18,45,60,50,0,0,155,5,14,188,1,6,10,0,5,5,15,35,0,10,10,0,0,20,5,5,0,20,10,40,0,0,0,0,0,0,95,,,0.17,8,15,653,5,18
2004,"A3","Bega Valley Christian College","Country",20,28,8,56,8,,15,15,20,5,20,5,0,5,85,35,8,43,128,6,,45,60,10,0,25,140,,,180,2,7,10,0,5,5,0,20,15,10,10,15,15,65,5,5,20,0,10,40,0,15,0,0,0,15,140,9,,0.23,7,14,644,6,19
2004,"A4","Bomaderry High School","Country",29,27,8,64,5,14,0,0,0,0,25,0,0,0,25,13,8,21,46,,,35,60,25,20,5,145,9,,136,,,10,10,5,5,15,45,0,0,10,15,15,40,5,5,20,20,10,60,0,0,15,0,20,35,180,3,9,-0.78,,,571,8,
2004,"A5","Bowral High School","Country",,,,N/A,,,15,15,20,15,0,0,0,15,80,9,8,17,97,,,15,45,60,10,10,140,,,104,,,10,0,5,0,15,30,0,10,10,15,15,50,5,5,0,0,10,20,0,0,0,0,0,0,100,,,-1.51,,,441,,
2004,"A6","Braidwood Central","Country",,,,N/A,,,15,15,0,5,25,5,15,30,110,26,8,34,144,3,17,15,0,10,50,45,120,,,164,6,16,10,0,5,5,15,35,15,10,10,15,15,65,5,5,0,20,10,40,0,0,0,0,0,0,140,9,,0.60,4,8,568,9,
2004,"A7","Canberra Girls Grammar","City",34,34,21,89,1,1,15,15,20,20,0,20,0,30,120,23,8,31,151,,13,30,20,0,45,40,135,,,172,8,12,10,0,5,5,0,20,0,0,10,15,15,40,5,5,0,20,10,40,10,0,15,0,20,45,145,,20,0.41,7,13,692,,15
2004,"A8","Canberra Grammar","City",25,25,8,58,,20,15,15,0,15,25,10,0,30,110,35,35,70,180,4,4,40,0,40,60,50,190,5,7,160,,18,10,10,5,5,15,45,15,0,10,15,15,55,5,5,20,20,10,60,10,15,0,20,20,65,225,1,1,0.56,5,9,813,5,5
2004,"A9","Cootamundra High School","Country",27,25,10,62,6,16,0,0,0,0,0,10,0,15,25,35,8,43,68,,,25,0,50,60,15,150,6,16,148,,,10,0,5,5,0,20,15,10,0,15,15,55,5,5,20,20,10,60,0,0,0,0,0,0,135,,,0.07,9,17,563,10,
2004,"AT","Copland College","City",30,35,15,80,2,2,0,15,0,20,25,25,30,15,130,35,28,63,193,2,2,20,60,60,30,0,170,9,13,168,10,15,10,10,5,5,15,45,15,10,10,15,15,65,5,5,0,20,10,40,0,15,15,20,20,70,220,2,2,1.16,2,5,831,3,3
2004,"B1","Crookwell High School","Country",0,0,0,0,,,5,15,0,0,0,0,0,15,35,28,1,29,64,,,10,0,10,15,50,85,,,120,,,0,0,5,5,15,25,0,0,0,0,15,15,5,5,0,0,10,20,0,0,0,0,0,0,60,,,-2.18,,,329,,
2004,"B2","Daramalan College","City",30,23,12,65,8,12,15,15,20,20,0,0,0,30,100,35,21,56,156,,12,60,20,10,30,10,130,,,164,,16,10,10,0,5,15,40,15,10,10,0,15,50,5,5,20,20,10,60,0,15,15,0,20,50,200,4,4,-0.27,,,715,9,10
2004,"B3","Dickson College","City",,,,N/A,,,15,15,0,20,25,25,0,30,130,35,8,43,173,6,6,60,50,60,10,60,240,1,1,176,6,9,10,0,5,5,0,20,15,10,10,15,0,50,5,5,20,20,10,60,0,15,15,20,20,70,200,4,4,0.62,4,7,789,6,6
2004,"B4","Erindale College","City",27,25,8,60,,18,15,0,20,20,20,10,0,30,115,35,7,42,157,10,11,25,40,10,30,0,105,,,160,,18,10,0,5,0,15,30,0,10,10,15,15,50,5,5,20,0,10,40,0,15,15,0,0,30,150,,18,-1.00,,,632,,
